
(31.10.2024 16:48 PM)
(3 amostras, de cada letra: W, S e L)
Erro inicial(ANTES DO TREINAMENTO): 7.429170899647493
MLP.js:366 Epoch 273, Erro total: 0.10343734950241609
MLP.js:366 Epoch 274, Erro total: 0.1026189700679948
MLP.js:366 Epoch 275, Erro total: 0.101809977328111
MLP.js:366 Epoch 276, Erro total: 0.10101023134853485
MLP.js:366 Epoch 277, Erro total: 0.10021959475145548
MLP.js:366 Epoch 278, Erro total: 0.09943793266029136
MLP.js:366 Epoch 279, Erro total: 0.0986651126458745
MLP.js:366 Epoch 280, Erro total: 0.09790100467396948
MLP.js:366 Epoch 281, Erro total: 0.09714548105409072
MLP.js:366 Epoch 282, Erro total: 0.09639841638958098
MLP.js:366 Epoch 283, Erro total: 0.09565968752891552
MLP.js:366 Epoch 284, Erro total: 0.09492917351819886
MLP.js:366 Epoch 285, Erro total: 0.09420675555482028
MLP.js:366 Epoch 286, Erro total: 0.09349231694223638
MLP.js:366 Epoch 287, Erro total: 0.0927857430458491
MLP.js:366 Epoch 288, Erro total: 0.09208692124995038
MLP.js:366 Epoch 289, Erro total: 0.09139574091570267
MLP.js:366 Epoch 290, Erro total: 0.09071209334012849
MLP.js:366 Epoch 291, Erro total: 0.0900358717160803
MLP.js:366 Epoch 292, Erro total: 0.08936697109316563
MLP.js:366 Epoch 293, Erro total: 0.08870528833959973
MLP.js:366 Epoch 294, Erro total: 0.08805072210496329
MLP.js:366 Epoch 295, Erro total: 0.08740317278383779
MLP.js:366 Epoch 296, Erro total: 0.08676254248029819
MLP.js:366 Epoch 297, Erro total: 0.08612873497323799
MLP.js:366 Epoch 298, Erro total: 0.08550165568250537
MLP.js:366 Epoch 299, Erro total: 0.08488121163582857
MLP.js:366 Epoch 300, Erro total: 0.08426731143651012
MLP.js:366 Epoch 301, Erro total: 0.08365986523186922
MLP.js:366 Epoch 302, Erro total: 0.0830587846824129
MLP.js:366 Epoch 303, Erro total: 0.08246398293171704
MLP.js:366 Epoch 304, Erro total: 0.0818753745769978
MLP.js:366 Epoch 305, Erro total: 0.0812928756403579
MLP.js:366 Epoch 306, Erro total: 0.08071640354068622
MLP.js:366 Epoch 307, Erro total: 0.08014587706619841
MLP.js:366 Epoch 308, Erro total: 0.07958121634759875
MLP.js:366 Epoch 309, Erro total: 0.07902234283184878
MLP.js:366 Epoch 310, Erro total: 0.07846917925652666
MLP.js:366 Epoch 311, Erro total: 0.07792164962476222
MLP.js:366 Epoch 312, Erro total: 0.07737967918073352
MLP.js:366 Epoch 313, Erro total: 0.07684319438570986
MLP.js:366 Epoch 314, Erro total: 0.07631212289462849
MLP.js:366 Epoch 315, Erro total: 0.07578639353319039
MLP.js:366 Epoch 316, Erro total: 0.0752659362754634
MLP.js:366 Epoch 317, Erro total: 0.07475068222197828
MLP.js:366 Epoch 318, Erro total: 0.07424056357830713
MLP.js:366 Epoch 319, Erro total: 0.0737355136341116
MLP.js:366 Epoch 320, Erro total: 0.07323546674264793
MLP.js:366 Epoch 321, Erro total: 0.07274035830072009
MLP.js:366 Epoch 322, Erro total: 0.07225012472906717
MLP.js:366 Epoch 323, Erro total: 0.07176470345317654
MLP.js:366 Epoch 324, Erro total: 0.071284032884511
MLP.js:366 Epoch 325, Erro total: 0.0708080524021409
MLP.js:366 Epoch 326, Erro total: 0.0703367023347693
MLP.js:366 Epoch 327, Erro total: 0.06986992394314391
MLP.js:366 Epoch 328, Erro total: 0.06940765940284312
MLP.js:366 Epoch 329, Erro total: 0.06894985178742906
MLP.js:366 Epoch 330, Erro total: 0.06849644505195833
MLP.js:366 Epoch 331, Erro total: 0.06804738401684116
MLP.js:366 Epoch 332, Erro total: 0.06760261435204273
MLP.js:366 Epoch 333, Erro total: 0.06716208256161496
MLP.js:366 Epoch 334, Erro total: 0.0667257359685547
MLP.js:366 Epoch 335, Erro total: 0.06629352269997761
MLP.js:366 Epoch 336, Erro total: 0.06586539167260254
MLP.js:366 Epoch 337, Erro total: 0.06544129257853681
MLP.js:366 Epoch 338, Erro total: 0.06502117587135711
MLP.js:366 Epoch 339, Erro total: 0.06460499275247845
MLP.js:366 Epoch 340, Erro total: 0.0641926951578047
MLP.js:366 Epoch 341, Erro total: 0.06378423574465261
MLP.js:366 Epoch 342, Erro total: 0.06337956787894578
MLP.js:366 Epoch 343, Erro total: 0.06297864562266932
MLP.js:366 Epoch 344, Erro total: 0.0625814237215816
MLP.js:366 Epoch 345, Erro total: 0.06218785759317555
MLP.js:366 Epoch 346, Erro total: 0.06179790331488423
MLP.js:366 Epoch 347, Erro total: 0.0614115176125254
MLP.js:366 Epoch 348, Erro total: 0.06102865784897929
MLP.js:366 Epoch 349, Erro total: 0.06064928201309419
MLP.js:366 Epoch 350, Erro total: 0.06027334870881509
MLP.js:366 Epoch 351, Erro total: 0.059900817144529134
MLP.js:366 Epoch 352, Erro total: 0.059531647122625306
MLP.js:366 Epoch 353, Erro total: 0.05916579902926038
MLP.js:366 Epoch 354, Erro total: 0.05880323382432962
MLP.js:366 Epoch 355, Erro total: 0.05844391303163492
MLP.js:366 Epoch 356, Erro total: 0.05808779872924792
MLP.js:366 Epoch 357, Erro total: 0.05773485354006288
MLP.js:366 Epoch 358, Erro total: 0.05738504062253519
MLP.js:366 Epoch 359, Erro total: 0.0570383236616008
MLP.js:366 Epoch 360, Erro total: 0.05669466685977452
MLP.js:366 Epoch 361, Erro total: 0.05635403492842026
MLP.js:366 Epoch 362, Erro total: 0.05601639307919231
MLP.js:366 Epoch 363, Erro total: 0.05568170701564185
